	Test text	Test emotions	Predicted emotions
0	i feel most vulnerable exhausted and plum used up i look up to the heavens and catch myself muttering pleading god be enough	fear	fear
1	i feel a little nervous i go to the gym	fear	fear
2	i do not know if i already hurt their feelings which may lead to their violent reaction may turn into a bad outcome	anger	anger
3	i feel like a cranky old man saying this but so it goes	anger	anger
4	i am and always have been a very sincere nice feeling sociable compassionate helpful girl	happy	happy
5	i feel horrible about myself and want to throw in the towel and give up	sadness	sadness
6	im feeling a bit bitchy tonight so i will be	anger	anger
7	i did not directly react to the spot fixing controversy she espressed her feelings feeling on twitter by tweeting the lyrics of a popular bollywood film song	happy	happy
8	i watched her tears fell i really feel so heartbroken	sadness	sadness
9	i attempted to call my mom to talk to her but she answered the phone with suck fake regard for my feelings she had her jolly voice on and i just told her nevermind and she said okay i have a couple guests walking through the door so i have to go and feed them some pie	happy	sadness
10	Jim could nonetheless tell by his anxious face that something was wro	fear	fear
11	The butcher becomes incen	anger	anger
12	i wasnt so self conscious of my atrocious singing i think id be tempted to break out into this whenever a colleague is feeling defeated	sadness	sadness
13	i am feeling slightly apprehensive about tomorrow s crim exam that has a hefty weighting of but not to the point where i am sweating buckets or reaching for the razor blades	fear	fear
14	i feel scared and stupid	fear	fear
15	i am also feeling his prompting to offer my comments about what exactly is going on in our very troubled world and what he has lead me to do regarding these times we are finding ourselves in	sadness	sadness
16	i left the theater feeling sad and alone the sudden realization of my own fleeting mortality weighing down each and every step	sadness	sadness
17	i feel we have a wonderful thing called a minute breathing space you can stop any time in the day even when you are driving along the motorway or in the middle of an important telephone call	happy	happy
18	i feel more truthful than usual these days	happy	happy
19	lost my girlfriend	sadness	fear
20	i feel an honor of my content being there	happy	happy
21	i love the feeling of the cold nipping at my nose while im in warm clothes	anger	anger
22	i am feeling pretty optimistic about the final product	happy	happy
23	i trust my kids however i feel helpless enough in here over so many things and i m upset at the lack of respect for the few little things i asked them not to do	fear	fear
24	im feeling rebellious and need to do something to relieve some of the turmoil in my body	anger	anger
25	i was feeling a bit jaded combination of mixed up feelings not enough sleep and too many big screen presentations i think	sadness	sadness
26	im feeling cute and flirty and bright coloured lipsticks are for when im feeling bold etc	happy	happy
27	i feel like i should have some sort of rockstar razzle dazzle lifestyle but i would at least like to spend a third of my life doing something i feel is worthwhile	happy	happy
28	i do feel that being the wife mother submissive that i am are all tied together i am not offended by the idea that i am submissive to my children	sadness	anger
29	i feel hopeful that we are already taking important action to make these necessary and important changes and that we will actually make an effective change and make it soon	happy	happy
30	i ended the episode feeling really pissed	anger	anger
31	i would also hate for you to feel i was selfish in my decision	anger	anger
32	i have a nagging feeling of discontent	sadness	sadness
33	i want to reach out a hand and have another there to take hold and there is noone and its making me feel needy	sadness	sadness
34	i left for work feeling still unpleasant and cheered up a mite bit once i got there	sadness	sadness
35	ive spent way too much time feeling pain to the point that im frightened to leave myself open to it	fear	fear
36	i feel disturbed because of the world i saw through the camera s eyes	sadness	sadness
37	im just feeling so inspired now that my hair is freshly cut	happy	happy
38	im feeling angry at someone i do something thoughtful for her and my feelings toward her soften	anger	anger
39	i feel sorry for john boehner his copious tears running over and blurring his spray tanned face until its the same color as his nicotine stained fingers all the while eric cantor is waiting to push him out of the speakership	sadness	sadness
40	i feel it s because we re unsure how we can help	fear	fear
41	i may feel stress unhappy	sadness	sadness
42	i had a go at it it said i was feeling paranoid lol	fear	fear
43	im fancy and it does it in a way without feeling too over the top or snobbish	anger	anger
44	i highly recommend not just this song but the band in general i know their sound might seem familiar girl rock sort of but i feel that their performances are very sincere and anyway their stuff is really good	happy	happy
45	i feel heartless in saying so though	anger	anger
46	i thought to myself feeling amused	happy	happy
47	i am left feeling unsure and confused	fear	fear
48	i dont know how to deal with this i feel like its becoming apart if who i am im afraid that im going to associate it with regular things so that i will never forget it	fear	fear
49	i feel so strange with english right now	fear	fear
50	He broke off as Jim Miller let go a Indian whoop of relief and delighted grins spread across the faces of everyone in the gr	happy	happy
51	i just feel so unsure of myself and everything in my life	fear	fear
52	im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off	anger	anger
53	i feel relaxed at airports are the times the do occasionally occur when i have no luggage especially exceptional luggage	happy	happy
54	i feel safe knowing that the things and people around me are there and will stay there	happy	happy
55	i always dread but end up leaving feeling positive	happy	happy
56	i need to know that it can be fixed and that i m going to feel gorgeous in this dress	happy	happy
57	ive been feeling really unsuccessful in a lot of ways	sadness	sadness
58	i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now	anger	anger
59	i hate asking myself why i feel so reluctant when he tries to kiss me	fear	fear
60	im feeling fairly miserable about this	sadness	sadness
61	i dont call what i am feeling as nervous but more anxious	fear	fear
62	id like to write something interesting right now but unfortunately i feel deprived of inspiration	sadness	sadness
63	im sure this silly little blog is ridiculous but sometimes i just feel so aggravated	anger	anger
64	i was in a dark moment of my life at that precise moment so each time i read her stuff the fleeting feeling of empathy for her and her triumphs was quickly succeeded by bitterness and guilty resentment towards her	sadness	sadness
65	im not gonna lie i was kinda sad and down and feeling pretty lonely	sadness	sadness
66	Some ill children feel so angry , depressed , or anxious about their condition that they refuse to e	fear	anger
67	i don t think that woman ever feels generous because she is too busy dying of love	happy	happy
68	i feel like i missed out on an opportunity to wear a cape during my run	sadness	sadness
69	i am currently feeling very aggravated	anger	anger
70	i feel that is very unfortunate that i dont own the soundtrack	sadness	sadness
71	i feel i will never escape something drawing attention to my forehead when distressed because i imagine old age will turn the scrunching into permanent wrinkles	fear	fear
72	i feel like i don t have any useful powerful or special gifts	happy	happy
73	im feeling pretty rebellious right now because im writing this is my engineering class	anger	anger
74	i was feeling pretty distracted with a few things that have been going on so it felt good to go with a clear mind	anger	anger
75	i forgive myself for accepting and allowing myself to feel humiliated and rejected because someone was chosen over me	sadness	sadness
76	i think i might feel a little remorseful if i pursued either of those options right now so ive put them on the back burner in case i change my mind later	sadness	sadness
77	i feel like im such a troubled girl with no direction	sadness	sadness
78	i started feeling overly lethargic my whole body feels like lead	sadness	sadness
79	i wasn t feeling pressured even if this was the longest race and the one i expected the most from	fear	fear
80	i think my body has recovered and i feel excited to go downstairs for the start of the weeks workout	happy	happy
81	i feel that her features makes this hairstye look really elegant	happy	happy
82	i been feeling terrific i was amazed at how my need to binge was abated and i ve lost weight without even trying	happy	happy
83	President Truman and his advisers were anxious over Sino-Soviet relations and wondered whether American forces could take the port of Dairen and thus prevent the Soviet Union from occupying the Liaotung peninsula of south Manchur	fear	fear
84	i feel groggy and want to crawl back into be with my cat and my book	sadness	sadness
85	i feel lost without you	sadness	sadness
86	i feel he is talented and good	happy	happy
87	i feel so petty who one of my first colleagues had not nice things to say about when i first asked for any contacts for investment banks from before i arrived at this job	anger	anger
88	i see those forms that i havent do yet i just feel very agitated	anger	fear
89	i know i sure do and i m feeling festive	happy	happy
90	i feel frustrated lonely or am having a hard time i think of elf and regain my strength lets spend together you guys and the other member for sure	anger	anger
91	i feel just a bit grouchy	anger	anger
92	i feel selfish on the days i dont feel well and want to be left alone in my misery	anger	anger
93	when a friend of mine keeps telling me morbid things that happened to his dog	anger	fear
94	i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now	fear	fear
95	im not too psyched about any of those stops but thats kind of a good thing because i wont feel pressured to go see and do everything there is to do and i can just hopefully relax and focus on making it fun for the kids which by extension makes it fun for me	fear	fear
96	i am aware of a level of unrest and feeling uncertain and i will sit with it for now	fear	fear
97	i feel more virtuous just looking at the pictures in her books	happy	happy
98	i wanted to go and ask him about my batting but was feeling hesitant about approaching such a big player	fear	fear
99	ive definitely had that underwater feeling lately so i was relieved to take part in a lenten service at church today one designed to clear the head of transitory concerns	happy	happy
100	He ignored the affronted expression that crossed Isabel 's face at this sardonic rejoinder , and contin	anger	anger
101	i feel for you despite the pain makes me suspicious that it might be so	fear	fear
102	`` We feel at this point actually quite exhilarated , '' said Nicola McIntyre of San Franc	happy	sadness
103	i like her too much to feel as if im being obnoxious and getting involved into somethign that has nothing to do with me	anger	anger
104	i am wondering though is if i m content with feeling so much discontent	sadness	sadness
105	i feel unsure or neutral about changing but really does not want to change	fear	fear
106	i don t want you to feel pressured into making love	fear	fear
107	i dance the more i feel joy the more generous i become with myself the more i live in the present the more i let myself off the trauma hook the less important the past becomes	happy	happy
108	i do feel a bit delighted	happy	happy
109	i would put them and their feelings before mine which is why i said it is mad	anger	anger
110	i feel so bitchy talking about myself this way ahaha i sound less retarded telling this story in person i swear and said if i were a boy i would fall in love with you	anger	anger
111	i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr	fear	fear
112	i feel more like the manager everyday and i feel more respected by the day as well	happy	happy
113	im trying to be intuitive often just makes me feel sort of confused and nauseous	fear	fear
114	i think for myself i feel everyone is greedy but in their own little ways whether that is going for the good or bad way thats another issue because usually you link both together but right now im trying to separate both issue separately so we can see the sole topic more cleary	anger	anger
115	im tired of crying then feeling content and loved then going back to crying again	happy	happy
116	i assert it is better to feel rich than to be rich	happy	happy
117	i feel times less bitchy	anger	anger
118	i really appreciated this even thought i m not christian any type of prayers are welcome and i d been feeling so lost and so out of it	sadness	sadness
119	i feel crazily indecisive impulsive just in a	fear	fear
120	i am feeling very irate right now because i have to wait for another one fucking month just to get my hair done	anger	anger
121	i disagree with my parents on many issues and will sometimes let them know my feelings in unkind ways	anger	anger
122	im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah	sadness	sadness
123	when they changed my office to another room without my agreement	anger	sadness
124	im just hoping i can walk by then because my thighs are not feeling at all friendly today	happy	happy
125	i feel tortured by my self inducing deprecation and resentment	fear	anger
126	i will write anything if i feel passionate about it or at the very least if it genuinely interests me	happy	happy
127	im feeling quite disillusioned about my weighins	sadness	sadness
128	i spend my energy making the world i live in a better place and do everything in my power not to kick people or feel superior to others who dont have the same challenges as myself	happy	happy
129	i feel a bit frantic today with everything i need to get done	fear	fear
130	i had envisioned and intended im just feeling unsure whether i got that vision and intention right	fear	fear
131	i am and i am looking for some vest tops i have some shorts but long ones due to feel paranoid that i have cellulite everywhere	fear	fear
132	i suggest that it is the beauty of the jewelry itself that will make you feel gorgeous	happy	happy
133	i feel distraught as ever	fear	fear
134	i recall seeing leaves falling off a tree set against a grey sky and feeling absolutely terrified	fear	fear
135	i feel assured thankk god	happy	happy
136	i set up a consultation with a therapist last week and i went to see him today i spoke to him about my general feelings towards things and in the end he reassured me that i did not have atlephobia but instead i had social anxiety which is apparently really common	happy	happy
137	i did not sleep better my food did not taste better my thoughts were not clearer i did not feel more vigorous i was in essence pounds of body and mind almost exclusively devoted to thinking about the cigarette i wanted but could not have	happy	happy
138	i feel frightened by it all	fear	fear
139	i was about to feel insulted and show opportunity the finger then the door when it presented the prize two weeks in italy	anger	anger
140	i just cant help but feel extremely jealous of them because theyve been together for a year and half and luke and i have been together for and a half and i have nothing	anger	anger
141	i feel fine about feeling well fine	happy	happy
142	i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings	fear	fear
143	i shouldnt feel threatened by that	fear	fear
144	i am nauseous and dizzy and feel all gloomy or at least not attached to my body anymore	sadness	sadness
145	i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already	fear	fear
146	i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever	anger	anger
147	i would also change the floor to a more pleasant feeling and dog friendly flooring	happy	happy
148	"` I do n't seem to be getting anywhere with this damn machine , "" he said with exasperat"	anger	anger
149	i can t decide whether to go with low hung or low slung feel free to leave a preference in comments and i m aware i ve now moved on from death to embalming	happy	sadness
150	For example , mildly depressed and tired old people used to be given amphetamine	sadness	sadness
151	i won a car in a prizecompetition the moment i was informed about it	happy	anger
152	i was laughing at my husband because he was still feeling skeptical with me cooking nice gozelemes	fear	fear
153	i am feeling a bit unsure about some of these im going to give it a try anyway	fear	fear
154	i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while	fear	fear
155	Effortlessly , his knee slid to part her legs , but when she threw him a look of utter dismay he paus	fear	fear
156	He says that he was so mad that he got a knife to scare t	anger	anger
157	ive been feeling very sentimental and reflective the past few days	sadness	sadness
158	Vitor went down on his hunkers and , much to the child 's glee , spent a minute or two admiring the 	happy	happy
159	i woke up feeling very disturbed	sadness	sadness
160	i feel joyful and carefree	happy	happy
161	i have never met in real life but feel super bonded to through crisis pregnancies and genius children and my new friend sara at a href http everybitterthingissweet	happy	happy
162	i was feeling a little unsure about my retro flowered piece	fear	fear
163	There may be cases where there is parliamentary disquiet over a ministerial proposal and then the minister has a change of mi	fear	fear
164	i feel the weight of my single dom pulling me under like a dangerous rip tide that is relentlessly surrounding every inch of my body	anger	anger
165	i feel rude feel free to grab the seat next to me	anger	anger
166	i was starting to feel alarmed	fear	fear
167	i feel like charmed gave me the means to spend those few years when my sons were very young at home with them	happy	happy
168	i feel we should not be threatened by the idea of caring and should care far more often	fear	fear
169	i feel deprived of an opportunity to see victoria take the rubies out for the first time	sadness	sadness
170	i was feeling rebellious so i ate it	anger	anger
171	i knew i was shaking for many reasons a big one being since this cyst drama started i get so cold so fast and feel drained	sadness	sadness
172	im stressed angry upset to the point where im feeling numb but one more bad thing is sure to set me over the edge	sadness	sadness
173	i felt and still feel really horribly that i scared the poor guy so much that he dropped his tail but im eternally grateful to him for teaching me this fact	fear	fear
174	i could feel myself getting that shaky feeling	fear	fear
175	i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy	sadness	sadness
176	i suppose because everyone elses problems are generally much worse than mine so i feel idiotic for not just learning to deal with everything myself	sadness	sadness
177	i stand between the two but did not hold off their eye contact this let in one of the wangxuehai feel awkward at that time actually don t know what to say	sadness	sadness
178	i feel discouraged i try to count my blessings and recognize all the good in my life	sadness	sadness
179	i feel listless bored useless	sadness	sadness
180	i started to open up about it i started to feel more like myself the stephanie who isn t embarrassed by life s setbacks who tackles difficult situations with humor and honesty	sadness	sadness
181	i am feeling very satisfied with where i am heading with my training and cannot wait to see where this journey continues to ta	happy	happy
182	i lured him in using emoexaderistic things about my life to to make him feel like he could be the tragic hero to save this young girl sorta romance plot	sadness	sadness
183	i know i never say or act that way but in reality its how i feel financially i feel disheartened because of my car	sadness	sadness
184	i haven t felt in the real life such as the feeling that comes after the successful adventure etc	happy	happy
185	i feel very reluctant to have to walk through	fear	fear
186	i feel like thats almost ok since no political party in the uk ever seems to reach out to young voters	happy	happy
187	i never thought i would feel more passionate about anything until i began teaching	happy	happy
188	i liked it all the same this one will take a few listening sessions to get a real feel theres a lot distortion in the songs which agitated me a bit but it caused me to do a little research on just what the creative force behind this unusual album	anger	anger
189	i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall	happy	happy
190	i feel that this is a highly talented bunch when roling on all cyclinders	happy	happy
191	i slowly realized that even the next day when the six hour effects had worn off i was feeling more energetic and could concentrate working through emotional crap better	happy	happy
192	i was feeling pretty hateful towards my refrigerator as i cleaned it	anger	anger
193	i got really fucked up last night i got really really really fucked up on loads of downers it was such a bad idea such a bad idea i feel like a neurotic mess right now i cant handle it i cant handle it i cant handle it	fear	anger
194	i feel like it add a little bit more shield from the cold and the fabric is great for wicking away sweat	anger	anger
195	i didn t feel ecstatic after each workout or anything like that	happy	happy
196	ive been feeling an awful lot lately	sadness	sadness
