	Text	Emotion
0	im grabbing a minute to post i feel greedy wrong	0
1	ive been feeling a little burdened lately wasnt sure why that was	3
2	i feel as confused about life as a teenager or as jaded as a year old man	1
3	i feel like i have to make the suffering i m seeing mean something	3
4	i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter	2
5	i didnt really feel that embarrassed	3
6	i now feel compromised and skeptical of the value of every unit of work i put in	1
7	i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for	1
8	i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me	2
9	i already feel like i fucked up though because i dont usually eat at all in the morning	0
10	i remember feeling acutely distressed for a few days	1
11	i have been feeling the need to be creative	2
12	i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed	0
13	i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book	2
14	i stopped feeling cold and began feeling hot	0
15	i found myself feeling a little discouraged that morning	3
16	i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave	3
17	i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own	0
18	i know the pain parents feel when an enraged child becomes violent	0
19	i can feel my ovaries aching talking to me as i like to put it	3
20	i think feelings are one of nay the most important things we have	2
21	i feel like a miserable piece of garbage	3
22	i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything	0
23	i will be able to lay on my bed in the dark and not feel terrified at least for a while	1
24	i am letting go of the animosity that is towards anyone that i feel has wronged me	0
25	im starting to feel wryly amused at the banal comedy of errors my life is turning into	2
26	i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country	0
27	i feel excited about what im doing again i feel like i have a ton of catching up to do	2
28	i also know how good it feels to look back and see that i honored my word and that helps from the start	2
29	i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness	3
30	finding out that i am not ill not seriously	2
31	i am feeling all useful	2
32	i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town	1
33	i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch	1
34	i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet	3
35	i feel they are pretty safe on my blog img src http s	2
36	i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love	1
37	i was still feeling strong	2
38	i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him	2
39	i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter	0
40	i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it	1
41	i clench to the corners of the bed to feel assured	2
42	i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious	0
43	i might go get a car wash if i am feeling really generous my car needs it	2
44	i still feel sleep deprived she is almost sleeping through the night giving us	3
45	i just feel really violent right now	0
46	i feel a need to protect my parents against the witch hunt that repressed memory therapy can be	3
47	i feel disgusted to even be associated with this woman by my race and nationality	0
48	i still feel it does the genre a disservice when stories are resolved artifically	2
49	i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed	2
50	i could feel her whimper to the thought of being unloved and uncared for	3
51	im getting the feeling that my classes are a little intimidated by the concept of a lit	1
52	when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures	1
53	i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol	1
54	i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy	3
55	i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving	3
56	i think im just being stupid feeling nervous	1
57	i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended	0
58	i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me	3
59	im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling	0
60	i feel now so uncomfortable with all of them i guess is me	1
61	i feel abused and maligned but mostly tired of the nervous feeling anticipating danger	3
62	i am feeling pretty restless right now while typing this	1
63	i feel so fucked like everyday of my life	0
64	i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off	0
65	i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths	2
66	i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved	3
67	im feeling cranky	0
68	i go to sleep i feel as if i m giving up precious time to do something else with my life	2
69	i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx	2
70	i feel as if i was abused in some way	3
71	i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated	2
72	i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know	3
73	i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good	1
74	im sick of feeling crappy	3
75	i feel like i almost convinced myself this is going to be the pattern	2
76	i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken	2
77	i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way	1
78	i can finally stop feeling listless and like a waste of space	3
79	i do feel a shift in me to being more positive	2
80	fear of thief	1
81	i always spend more money there than i mean to and feel dissatisfied when i exit the store	0
82	im feeling really quite angry	0
83	i feel really ashamed	3
84	i finally left feeling judged and ridiculed because i am intelligent	2
85	i is starting to feel a bit insulted by this stranger	0
86	i see women wearing boots i feel envious that i want to curse them	0
87	i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me	2
88	i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented	0
89	i stopped feeling so exhausted a href http provokingbeauty	3
90	i be made to feel rotten	3
91	i feel like i m on the receiving end of a violent attack	0
92	i and i are feeling especially thankful for so many small blessings in our life right now	2
93	i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts	2
94	i feel burdened to share it	3
95	i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies	0
96	i feel envious and embarrassed	0
97	i could feel the frantic need in him the need to make me his	1
98	i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other	0
99	i am already feeling frantic	1
100	i feel like this insecurity is a good thing when i first started writing i pictured it all	2
101	i crave as i fall into submission and i did not feel submissive in the least	3
102	i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber	0
103	im pretty happy but a little on the nauseated side to feel thrilled	2
104	im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage	0
105	i am feeling pretty worthless right now	3
106	i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen	1
107	i do feel envious of those with kids at certain moments	0
